Course,Previous qualification,Mother's qualification,Father's qualification,Scholarship holder,Curricular units 1st sem (credited),Curricular units 1st sem (grade),Unemployment rate,Inflation rate,GDP,order,value,abs_value,metric,n_train,n_test,seed
0,1,1,0,0,1,0,0,0,0,3,0.5162748643761302,0.5162748643761302,accuracy,3318,1106,42
0,1,1,0,0,0,1,0,0,0,3,0.6283905967450272,0.6283905967450272,accuracy,3318,1106,42
0,1,1,0,0,0,0,1,0,0,3,0.5280289330922242,0.5280289330922242,accuracy,3318,1106,42
0,1,1,0,0,0,0,0,1,0,3,0.515370705244123,0.515370705244123,accuracy,3318,1106,42
0,1,1,0,0,0,0,0,0,1,3,0.5253164556962026,0.5253164556962026,accuracy,3318,1106,42
0,1,0,1,1,0,0,0,0,0,3,0.5424954792043399,0.5424954792043399,accuracy,3318,1106,42
0,1,0,1,0,1,0,0,0,0,3,0.5171790235081374,0.5171790235081374,accuracy,3318,1106,42
0,1,0,1,0,0,1,0,0,0,3,0.6347197106690777,0.6347197106690777,accuracy,3318,1106,42
0,1,0,1,0,0,0,1,0,0,3,0.5325497287522604,0.5325497287522604,accuracy,3318,1106,42
0,1,0,1,0,0,0,0,1,0,3,0.5280289330922242,0.5280289330922242,accuracy,3318,1106,42
0,1,0,1,0,0,0,0,0,1,3,0.5316455696202531,0.5316455696202531,accuracy,3318,1106,42
0,1,0,0,1,1,0,0,0,0,3,0.5207956600361664,0.5207956600361664,accuracy,3318,1106,42
0,1,0,0,1,0,1,0,0,0,3,0.6247739602169982,0.6247739602169982,accuracy,3318,1106,42
0,1,0,0,1,0,0,1,0,0,3,0.5117540687160941,0.5117540687160941,accuracy,3318,1106,42
0,1,0,0,1,0,0,0,1,0,3,0.5171790235081374,0.5171790235081374,accuracy,3318,1106,42
0,1,0,0,1,0,0,0,0,1,3,0.5189873417721519,0.5189873417721519,accuracy,3318,1106,42
0,1,0,0,0,1,1,0,0,0,3,0.6365280289330922,0.6365280289330922,accuracy,3318,1106,42
0,1,0,0,0,1,0,1,0,0,3,0.5081374321880651,0.5081374321880651,accuracy,3318,1106,42
0,1,0,0,0,1,0,0,1,0,3,0.5090415913200723,0.5090415913200723,accuracy,3318,1106,42
0,1,0,0,0,1,0,0,0,1,3,0.5126582278481012,0.5126582278481012,accuracy,3318,1106,42
0,1,0,0,0,0,1,1,0,0,3,0.6410488245931284,0.6410488245931284,accuracy,3318,1106,42
0,1,0,0,0,0,1,0,1,0,3,0.6365280289330922,0.6365280289330922,accuracy,3318,1106,42
0,1,0,0,0,0,1,0,0,1,3,0.6320072332730561,0.6320072332730561,accuracy,3318,1106,42
0,1,0,0,0,0,0,1,1,0,3,0.523508137432188,0.523508137432188,accuracy,3318,1106,42
0,1,0,0,0,0,0,1,0,1,3,0.523508137432188,0.523508137432188,accuracy,3318,1106,42
0,1,0,0,0,0,0,0,1,1,3,0.5180831826401446,0.5180831826401446,accuracy,3318,1106,42
0,0,1,1,1,0,0,0,0,0,3,0.5262206148282098,0.5262206148282098,accuracy,3318,1106,42
0,0,1,1,0,1,0,0,0,0,3,0.5072332730560579,0.5072332730560579,accuracy,3318,1106,42
0,0,1,1,0,0,1,0,0,0,3,0.6338155515370705,0.6338155515370705,accuracy,3318,1106,42
0,0,1,1,0,0,0,1,0,0,3,0.5081374321880651,0.5081374321880651,accuracy,3318,1106,42
0,0,1,1,0,0,0,0,1,0,3,0.5090415913200723,0.5090415913200723,accuracy,3318,1106,42
0,0,1,1,0,0,0,0,0,1,3,0.5090415913200723,0.5090415913200723,accuracy,3318,1106,42
0,0,1,0,1,1,0,0,0,0,3,0.5443037974683544,0.5443037974683544,accuracy,3318,1106,42
0,0,1,0,1,0,1,0,0,0,3,0.6347197106690777,0.6347197106690777,accuracy,3318,1106,42
0,0,1,0,1,0,0,1,0,0,3,0.5244122965641953,0.5244122965641953,accuracy,3318,1106,42
0,0,1,0,1,0,0,0,1,0,3,0.5262206148282098,0.5262206148282098,accuracy,3318,1106,42
0,0,1,0,1,0,0,0,0,1,3,0.5117540687160941,0.5117540687160941,accuracy,3318,1106,42
0,0,1,0,0,1,1,0,0,0,3,0.6311030741410488,0.6311030741410488,accuracy,3318,1106,42
0,0,1,0,0,1,0,1,0,0,3,0.5027124773960217,0.5027124773960217,accuracy,3318,1106,42
0,0,1,0,0,1,0,0,1,0,3,0.5018083182640145,0.5018083182640145,accuracy,3318,1106,42
0,0,1,0,0,1,0,0,0,1,3,0.5090415913200723,0.5090415913200723,accuracy,3318,1106,42
0,0,1,0,0,0,1,1,0,0,3,0.6175406871609403,0.6175406871609403,accuracy,3318,1106,42
0,0,1,0,0,0,1,0,1,0,3,0.6220614828209765,0.6220614828209765,accuracy,3318,1106,42
0,0,1,0,0,0,1,0,0,1,3,0.620253164556962,0.620253164556962,accuracy,3318,1106,42
0,0,1,0,0,0,0,1,1,0,3,0.5081374321880651,0.5081374321880651,accuracy,3318,1106,42
0,0,1,0,0,0,0,1,0,1,3,0.5099457504520796,0.5099457504520796,accuracy,3318,1106,42
0,0,1,0,0,0,0,0,1,1,3,0.5081374321880651,0.5081374321880651,accuracy,3318,1106,42
0,0,0,1,1,1,0,0,0,0,3,0.5424954792043399,0.5424954792043399,accuracy,3318,1106,42
0,0,0,1,1,0,1,0,0,0,3,0.6283905967450272,0.6283905967450272,accuracy,3318,1106,42
0,0,0,1,1,0,0,1,0,0,3,0.5189873417721519,0.5189873417721519,accuracy,3318,1106,42
0,0,0,1,1,0,0,0,1,0,3,0.5198915009041591,0.5198915009041591,accuracy,3318,1106,42
0,0,0,1,1,0,0,0,0,1,3,0.5226039783001808,0.5226039783001808,accuracy,3318,1106,42
0,0,0,1,0,1,1,0,0,0,3,0.6311030741410488,0.6311030741410488,accuracy,3318,1106,42
0,0,0,1,0,1,0,1,0,0,3,0.5027124773960217,0.5027124773960217,accuracy,3318,1106,42
0,0,0,1,0,1,0,0,1,0,3,0.5045207956600362,0.5045207956600362,accuracy,3318,1106,42
0,0,0,1,0,1,0,0,0,1,3,0.5027124773960217,0.5027124773960217,accuracy,3318,1106,42
0,0,0,1,0,0,1,1,0,0,3,0.6283905967450272,0.6283905967450272,accuracy,3318,1106,42
0,0,0,1,0,0,1,0,1,0,3,0.6256781193490054,0.6256781193490054,accuracy,3318,1106,42
0,0,0,1,0,0,1,0,0,1,3,0.6301989150090416,0.6301989150090416,accuracy,3318,1106,42
0,0,0,1,0,0,0,1,1,0,3,0.5144665461121157,0.5144665461121157,accuracy,3318,1106,42
0,0,0,1,0,0,0,1,0,1,3,0.5144665461121157,0.5144665461121157,accuracy,3318,1106,42
0,0,0,1,0,0,0,0,1,1,3,0.5135623869801085,0.5135623869801085,accuracy,3318,1106,42
0,0,0,0,1,1,1,0,0,0,3,0.6383363471971067,0.6383363471971067,accuracy,3318,1106,42
0,0,0,0,1,1,0,1,0,0,3,0.5036166365280289,0.5036166365280289,accuracy,3318,1106,42
0,0,0,0,1,1,0,0,1,0,3,0.4918625678119349,0.4918625678119349,accuracy,3318,1106,42
0,0,0,0,1,1,0,0,0,1,3,0.5009041591320073,0.5009041591320073,accuracy,3318,1106,42
0,0,0,0,1,0,1,1,0,0,3,0.6166365280289331,0.6166365280289331,accuracy,3318,1106,42
0,0,0,0,1,0,1,0,1,0,3,0.6229656419529838,0.6229656419529838,accuracy,3318,1106,42
0,0,0,0,1,0,1,0,0,1,3,0.6292947558770343,0.6292947558770343,accuracy,3318,1106,42
0,0,0,0,1,0,0,1,1,0,3,0.4945750452079566,0.4945750452079566,accuracy,3318,1106,42
0,0,0,0,1,0,0,1,0,1,3,0.4945750452079566,0.4945750452079566,accuracy,3318,1106,42
0,0,0,0,1,0,0,0,1,1,3,0.4945750452079566,0.4945750452079566,accuracy,3318,1106,42
0,0,0,0,0,1,1,1,0,0,3,0.6446654611211573,0.6446654611211573,accuracy,3318,1106,42
0,0,0,0,0,1,1,0,1,0,3,0.6428571428571429,0.6428571428571429,accuracy,3318,1106,42
0,0,0,0,0,1,1,0,0,1,3,0.6428571428571429,0.6428571428571429,accuracy,3318,1106,42
0,0,0,0,0,1,0,1,1,0,3,0.4873417721518987,0.4873417721518987,accuracy,3318,1106,42
0,0,0,0,0,1,0,1,0,1,3,0.4891500904159132,0.4891500904159132,accuracy,3318,1106,42
0,0,0,0,0,1,0,0,1,1,3,0.4873417721518987,0.4873417721518987,accuracy,3318,1106,42
0,0,0,0,0,0,1,1,1,0,3,0.6247739602169982,0.6247739602169982,accuracy,3318,1106,42
0,0,0,0,0,0,1,1,0,1,3,0.6274864376130199,0.6274864376130199,accuracy,3318,1106,42
0,0,0,0,0,0,1,0,1,1,3,0.6301989150090416,0.6301989150090416,accuracy,3318,1106,42
0,0,0,0,0,0,0,1,1,1,3,0.49909584086799275,0.49909584086799275,accuracy,3318,1106,42
1,1,1,1,0,0,0,0,0,0,4,0.5650994575045208,0.5650994575045208,accuracy,3318,1106,42
1,1,1,0,1,0,0,0,0,0,4,0.5750452079566004,0.5750452079566004,accuracy,3318,1106,42
