category,subcategory_1,type_1,material_1,region,owner,age,years_since_major_rehab,deck_length_m,span_count,order,value,abs_value,metric,n_train,n_test,seed
1,0,1,0,0,1,0,1,1,0,5,0.6629303442754203,0.6629303442754203,accuracy,3744,1249,42
1,1,1,0,1,1,0,1,1,1,8,0.6581265012009607,0.6581265012009607,accuracy,3744,1249,42
1,0,0,0,1,1,0,0,0,0,3,0.6236989591673339,0.6236989591673339,accuracy,3744,1249,42
0,1,0,1,1,1,0,1,1,1,7,0.6861489191353083,0.6861489191353083,accuracy,3744,1249,42
1,1,0,1,1,0,1,1,1,1,8,0.7910328262610088,0.7910328262610088,accuracy,3744,1249,42
0,0,1,1,1,1,0,1,0,0,5,0.6949559647718174,0.6949559647718174,accuracy,3744,1249,42
1,1,0,1,0,1,0,1,1,0,6,0.677341873498799,0.677341873498799,accuracy,3744,1249,42
1,0,1,1,0,1,0,1,0,1,6,0.6909527622097679,0.6909527622097679,accuracy,3744,1249,42
0,1,1,1,1,1,1,1,1,1,9,0.7902321857485989,0.7902321857485989,accuracy,3744,1249,42
1,0,0,0,0,0,1,1,1,1,5,0.7798238590872698,0.7798238590872698,accuracy,3744,1249,42
1,0,0,0,1,0,0,0,0,1,3,0.622898318654924,0.622898318654924,accuracy,3744,1249,42
1,1,0,1,0,0,0,1,1,1,6,0.6741393114491593,0.6741393114491593,accuracy,3744,1249,42
0,1,1,1,1,1,0,0,1,1,7,0.688550840672538,0.688550840672538,accuracy,3744,1249,42
0,1,0,0,1,0,0,0,1,1,4,0.6317053642914331,0.6317053642914331,accuracy,3744,1249,42
0,0,1,0,0,1,0,0,0,1,3,0.6469175340272217,0.6469175340272217,accuracy,3744,1249,42
1,1,0,0,1,0,1,0,0,1,5,0.7742193755004003,0.7742193755004003,accuracy,3744,1249,42
0,0,0,0,0,1,0,1,0,0,2,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
1,1,1,0,1,1,1,1,1,0,8,0.7982385908726981,0.7982385908726981,accuracy,3744,1249,42
0,0,1,0,0,0,0,1,0,0,2,0.655724579663731,0.655724579663731,accuracy,3744,1249,42
1,0,1,1,0,0,1,0,1,0,5,0.77822257806245,0.77822257806245,accuracy,3744,1249,42
0,0,0,1,0,0,0,0,0,1,2,0.6597277822257807,0.6597277822257807,accuracy,3744,1249,42
1,0,0,1,0,1,0,1,1,0,5,0.6629303442754203,0.6629303442754203,accuracy,3744,1249,42
1,0,0,0,0,1,1,1,1,0,5,0.7790232185748599,0.7790232185748599,accuracy,3744,1249,42
1,1,0,1,1,0,0,0,0,1,5,0.6765412329863891,0.6765412329863891,accuracy,3744,1249,42
0,1,1,0,0,1,0,0,0,1,4,0.6469175340272217,0.6469175340272217,accuracy,3744,1249,42
1,0,1,0,0,0,1,1,0,0,4,0.7870296236989591,0.7870296236989591,accuracy,3744,1249,42
