C1M_on,C2M_on,C3M_on,C4M_on,C5M_on,C6M_on,C7M_on,C8EV_on,E1_on,H3_on,H6M_on,V3_on,V4_on,order,value,abs_value,metric,n_train,coalition_id,class_id,k_selected,class_score_max,class_score_min,class_size
0,0,0,1,0,0,0,0,0,0,1,1,0,3,1.4216129032258065,1.4216129032258065,rt_mean_next_mean,1,C4M_on|H6M_on|V3_on,9,10,1.4780645161290322,1.2796774193548388,21
0,0,0,1,0,0,0,1,0,0,1,1,0,4,0.6058064516129033,0.6058064516129033,rt_mean_next_mean,1,C4M_on|C8EV_on|H6M_on|V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,1,0,0,0,1,0,1,1,1,0,5,1.1512817204301076,1.1512817204301076,rt_mean_next_mean,5,C4M_on|C8EV_on|H3_on|H6M_on|V3_on,8,10,1.269462365591398,1.120225806451613,75
0,0,0,1,0,0,0,1,0,1,1,1,1,6,1.4138709677419354,1.4138709677419354,rt_mean_next_mean,1,C4M_on|C8EV_on|H3_on|H6M_on|V3_on|V4_on,9,10,1.4780645161290322,1.2796774193548388,21
0,0,0,1,0,0,0,1,1,1,1,0,0,5,0.7370967741935485,0.7370967741935485,rt_mean_next_mean,1,C4M_on|C8EV_on|E1_on|H3_on|H6M_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,1,0,0,0,1,1,1,1,1,0,6,0.7139187574671446,0.7139187574671446,rt_mean_next_mean,9,C4M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,1,0,1,0,1,0,0,1,1,0,5,0.02,0.02,rt_mean_next_mean,1,C4M_on|C6M_on|C8EV_on|H6M_on|V3_on,1,10,0.2043620071684588,0.0,30
0,0,0,1,0,1,0,1,1,1,1,0,0,6,1.174146953405018,1.174146953405018,rt_mean_next_mean,3,C4M_on|C6M_on|C8EV_on|E1_on|H3_on|H6M_on,8,10,1.269462365591398,1.120225806451613,75
0,0,0,1,0,1,0,1,1,1,1,1,0,7,1.5561290322580643,1.5561290322580643,rt_mean_next_mean,1,C4M_on|C6M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,10,10,1.7748387096774194,1.52,11
0,0,0,1,1,0,0,1,1,1,1,1,0,7,0.5516129032258065,0.5516129032258065,rt_mean_next_mean,1,C4M_on|C5M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,1,1,0,0,1,1,1,1,1,1,8,1.0809677419354835,1.0809677419354835,rt_mean_next_mean,1,C4M_on|C5M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on|V4_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,1,0,0,0,0,0,0,0,1,1,0,3,0.8590322580645161,0.8590322580645161,rt_mean_next_mean,1,C3M_on|H6M_on|V3_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,1,0,0,0,0,1,0,0,1,1,0,4,0.8610783410138249,0.8610783410138249,rt_mean_next_mean,14,C3M_on|C8EV_on|H6M_on|V3_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,1,0,0,0,0,1,0,1,1,0,0,4,0.7374193548387097,0.7374193548387097,rt_mean_next_mean,1,C3M_on|C8EV_on|H3_on|H6M_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,1,0,0,0,0,1,0,1,1,1,0,5,0.9274095622119816,0.9274095622119816,rt_mean_next_mean,4,C3M_on|C8EV_on|H3_on|H6M_on|V3_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,1,0,0,0,0,1,1,1,0,1,0,5,0.8704758064516129,0.8704758064516129,rt_mean_next_mean,8,C3M_on|C8EV_on|E1_on|H3_on|V3_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,1,0,0,0,0,1,1,1,1,0,0,5,1.153801075268817,1.153801075268817,rt_mean_next_mean,2,C3M_on|C8EV_on|E1_on|H3_on|H6M_on,8,10,1.269462365591398,1.120225806451613,75
0,0,1,0,0,0,0,1,1,1,1,1,0,6,1.7748387096774194,1.7748387096774194,rt_mean_next_mean,1,C3M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,10,10,1.7748387096774194,1.52,11
0,0,1,0,0,0,1,1,0,1,1,1,0,6,0.974,0.974,rt_mean_next_mean,1,C3M_on|C7M_on|C8EV_on|H3_on|H6M_on|V3_on,6,10,1.0068333333333332,0.9107816180235536,108
